datetime,PM2.5,PM10,O3,CO,NO2
2021-12-15 18:00:00,38,85,6.0,2.2,60.0
2021-12-15 19:00:00,42,85,5.0,2.24,58.0
2021-12-15 20:00:00,49,91,4.0,2.39,55.0
2021-12-15 21:00:00,52,101,3.0,2.05,49.0
2021-12-15 22:00:00,53,107,7.0,1.48,44.0
2021-12-15 23:00:00,51,113,11.0,1.25,41.0
2021-12-16 00:00:00,36,85,12.0,1.1,37.0
2021-12-16 01:00:00,34,82,14.0,0.9,32.0
2021-12-16 02:00:00,51,89,11.0,0.95,30.0
2021-12-16 03:00:00,51,83,9.0,0.95,30.0
2021-12-16 04:00:00,38,92,9.0,1.28,30.0
2021-12-16 05:00:00,69,108,5.0,1.55,29.0
2021-12-16 06:00:00,78,121,4.0,2.05,29.0
2021-12-16 07:00:00,88,116,4.0,2.45,31.0
2021-12-16 08:00:00,85,116,7.0,2.0,35.0
2021-12-16 09:00:00,74,123,11.0,1.62,37.0
2021-12-16 10:00:00,67,119,10.0,1.66,43.0
2021-12-16 11:00:00,65,118,21.0,1.51,48.0
2021-12-16 12:00:00,64,111,31.0,1.26,49.0
2021-12-16 13:00:00,53,107,26.0,1.48,48.0
2021-12-16 14:00:00,43,101,39.0,1.18,52.0
2021-12-16 15:00:00,38,84,26.0,1.44,56.0
2021-12-16 16:00:00,31,92,29.0,1.58,63.0
2021-12-16 17:00:00,36,93,23.0,1.9,69.0
2021-12-16 18:00:00,36,96,11.0,2.03,66.0
2021-12-16 19:00:00,37,98,3.0,2.52,62.0
2021-12-16 20:00:00,43,108,3.0,2.41,55.0
2021-12-16 21:00:00,49,116,4.0,2.02,49.0
2021-12-16 22:00:00,56,115,10.0,1.38,43.0
2021-12-16 23:00:00,55,111,8.0,1.34,41.0
2021-12-17 00:00:00,49,112,10.0,1.03,36.0
2021-12-17 01:00:00,42,107,11.0,0.88,32.0
2021-12-17 02:00:00,42,113,9.0,0.88,32.0
2021-12-17 03:00:00,43,106,9.0,0.86,28.0
2021-12-17 04:00:00,50,111,5.0,1.06,26.0
2021-12-17 05:00:00,53,124,3.0,1.42,25.0
2021-12-17 06:00:00,69,134,2.0,1.91,26.0
2021-12-17 07:00:00,64,152,2.0,2.42,29.0
2021-12-17 08:00:00,65,173,4.0,2.31,30.0
2021-12-17 09:00:00,62,153,8.0,1.76,34.0
2021-12-17 10:00:00,54,143,15.0,1.41,39.0
2021-12-17 11:00:00,54,126,29.0,1.06,42.0
2021-12-17 12:00:00,56,116,31.0,1.03,42.0
2021-12-17 13:00:00,56,102,26.0,1.13,41.0
2021-12-17 14:00:00,51,91,23.0,1.08,40.0
2021-12-17 15:00:00,46,81,19.0,1.23,40.0
2021-12-17 16:00:00,34,75,11.0,1.61,39.0
2021-12-17 17:00:00,31,75,9.0,1.86,40.0
2021-12-17 18:00:00,33,75,5.0,2.31,41.0
2021-12-17 19:00:00,37,81,3.0,2.65,39.0
2021-12-17 20:00:00,45,91,8.0,1.59,35.0
2021-12-17 21:00:00,38,89,6.0,1.51,29.0
2021-12-17 22:00:00,37,83,5.0,1.4,27.0
2021-12-17 23:00:00,42,86,7.0,1.16,27.0
2021-12-18 00:00:00,31,86,10.0,0.91,24.0
2021-12-18 01:00:00,26,83,11.0,0.91,24.0
2021-12-18 02:00:00,30,83,11.0,0.84,21.0
2021-12-18 03:00:00,33,83,6.0,0.95,20.0
2021-12-18 04:00:00,36,89,12.0,0.8,18.0
2021-12-18 05:00:00,30,89,11.0,0.93,17.0
2021-12-18 06:00:00,28,87,10.0,0.95,19.0
2021-12-18 07:00:00,23,74,11.0,1.01,21.0
2021-12-18 08:00:00,22,70,11.0,1.08,22.0
2021-12-18 09:00:00,21,75,12.0,1.04,25.0
2021-12-18 10:00:00,22,73,20.0,0.91,27.0
2021-12-18 11:00:00,22,71,22.0,0.91,28.0
2021-12-18 12:00:00,34,71,24.0,0.98,30.0
2021-12-18 13:00:00,36,74,24.0,0.95,31.0
2021-12-18 14:00:00,33,71,30.0,1.04,34.0
2021-12-18 15:00:00,31,69,32.0,1.04,37.0
2021-12-18 16:00:00,28,68,18.0,1.26,42.0
2021-12-18 17:00:00,29,70,14.0,1.42,45.0
2021-12-18 18:00:00,30,70,8.0,1.72,44.0
2021-12-18 19:00:00,33,75,8.0,1.6,38.0
2021-12-18 20:00:00,36,79,18.0,1.22,34.0
2021-12-18 21:00:00,31,74,24.0,1.05,31.0
2021-12-18 22:00:00,29,73,22.0,1.02,31.0
2021-12-18 23:00:00,28,63,26.0,0.88,30.0
